Neighborhood,Borough,Median Rent,Median Income,Income % for Median Rent,Income Required to Lease
Briarwood-Jamaica Hills,Queens,2186,58564,44.79%,87440
Maspeth,Queens,2099,56689,44.43%,83960
SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,4400,118931,44.40%,176000
Kew Gardens,Queens,2400,65035,44.28%,96000
Forest Hills,Queens,2500,67881,44.19%,100000
Battery Park City-Lower Manhattan,Manhattan,4552.5,125434,43.55%,182100
Murray Hill-Kips Bay,Manhattan,3498,97458,43.07%,139920
Dyker Heights,Brooklyn,1950,54752,42.74%,78000
Prospect Heights,Brooklyn,3000,84323,42.69%,120000
Richmond Hill,Queens,2050,58473,42.07%,82000
Windsor Terrace,Brooklyn,2875,82297,41.92%,115000
Turtle Bay-East Midtown,Manhattan,3967,113998,41.76%,158680
South Ozone Park,Queens,2000,57849,41.49%,80000
Midtown-Midtown South,Manhattan,3950,114491,41.40%,158000
Lenox Hill-Roosevelt Island,Manhattan,3395,98797,41.24%,135800
Woodhaven,Queens,2100,61804,40.77%,84000
Auburndale,Queens,2400,70772,40.69%,96000
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,2500,74718,40.15%,100000
Kew Gardens Hills,Queens,2050,61348,40.10%,82000
Yorkville,Manhattan,3250,98840,39.46%,130000
Schuylerville-Throgs Neck-Edgewater Park,Bronx,2200,67549,39.08%,88000
Canarsie,Brooklyn,1937.5,60766,38.26%,77500
Glendale,Queens,2000,64178,37.40%,80000
Ozone Park,Queens,2000,65786,36.48%,80000
Flatlands,Brooklyn,1925,64519,35.80%,77000
Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,2150,72158,35.75%,86000
Park Slope-Gowanus,Brooklyn,3000,101784,35.37%,120000
Middle Village,Queens,2000,69763,34.40%,80000
Douglas Manor-Douglaston-Little Neck,Queens,2350,83749,33.67%,94000
Fresh Meadows-Utopia,Queens,1950,69525,33.66%,78000
Bayside-Bayside Hills,Queens,2176,79120,33.00%,87040
New Dorp-Midland Beach,Staten Island,1900,78100,29.19%,76000
Whitestone,Queens,1950,80546,29.05%,78000
Great Kills,Staten Island,2050,88868,27.68%,82000
Upper East Side-Carnegie Hill,Manhattan,3555,155213,27.48%,142200
